2022-09-29,0.9706
2022-09-30,0.9748
2022-10-03,0.9764
2022-10-04,0.9891
2022-10-05,0.9915
2022-10-06,0.9860
2022-10-07,0.9797
2022-10-10,0.9697
2022-10-11,0.9723
2022-10-12,0.9706
2022-10-13,0.9739
2022-10-14,0.9717
2022-10-17,0.9739
2022-10-18,0.9835
2022-10-19,0.9778
2022-10-20,0.9811
2022-10-21,0.9730
2022-10-24,0.9851
2022-10-25,0.9861
2022-10-26,1.0023
2022-10-27,1.0037
2022-10-28,0.9951
2022-10-31,0.9914
2022-11-01,0.9947
2022-11-02,0.9908
2022-11-03,0.9753
2022-11-04,0.9872
2022-11-07,0.9993
2022-11-08,0.9996
2022-11-09,1.0039
2022-11-10,0.9954
2022-11-11,1.0308
2022-11-14,1.0319
2022-11-15,1.0404
2022-11-16,1.0412
2022-11-17,1.0319
2022-11-18,1.0366
2022-11-21,1.0246
2022-11-22,1.0274
2022-11-23,1.0325
2022-11-24,1.0413
2022-11-25,1.0375
2022-11-28,1.0463
2022-11-29,1.0366
2022-11-30,1.0376
2022-12-01,1.0454
2022-12-02,1.0538
2022-12-05,1.0587
2022-12-06,1.0516
2022-12-07,1.0529
2022-12-08,1.0519
2022-12-09,1.0559
2022-12-12,1.0562
2022-12-13,1.0545
2022-12-14,1.0649
2022-12-15,1.0621
2022-12-16,1.0619
2022-12-19,1.0598
2022-12-20,1.0599
2022-12-21,1.0636
2022-12-22,1.0633
2022-12-23,1.0622
2022-12-27,1.0624
2022-12-28,1.0640
2022-12-29,1.0649
2022-12-30,1.0666
2023-01-02,1.0683
2023-01-03,1.0545
2023-01-04,1.0599
2023-01-05,1.0601
2023-01-06,1.0500
2023-01-09,1.0696
2023-01-10,1.0723
2023-01-11,1.0747
2023-01-12,1.0772
2023-01-13,1.0814
2023-01-16,1.0812
2023-01-17,1.0843
2023-01-18,1.0839
2023-01-19,1.0815
2023-01-20,1.0826
2023-01-23,1.0871
2023-01-24,1.0858
2023-01-25,1.0878
2023-01-26,1.0895
2023-01-27,1.0865
2023-01-30,1.0903
2023-01-31,1.0833
2023-02-01,1.0894
2023-02-02,1.0988
2023-02-03,1.0937
2023-02-06,1.0776
2023-02-07,1.0700
2023-02-08,1.0735
2023-02-09,1.0771
2023-02-10,1.0690
2023-02-13,1.0686
2023-02-14,1.0759
2023-02-15,1.0700
2023-02-16,1.0700
2023-02-17,1.0625
2023-02-20,1.0674
2023-02-21,1.0664
2023-02-22,1.0644
2023-02-23,1.0616
2023-02-24,1.0570
2023-02-27,1.0554
2023-02-28,1.0619
2023-03-01,1.0684
2023-03-02,1.0605
2023-03-03,1.0615
2023-03-06,1.0646
2023-03-07,1.0665
2023-03-08,1.0545
2023-03-09,1.0554
2023-03-10,1.0586
2023-03-13,1.0706
2023-03-14,1.0737
2023-03-15,1.0549
2023-03-16,1.0595
2023-03-17,1.0623
2023-03-20,1.0717
2023-03-21,1.0776
2023-03-22,1.0785
2023-03-23,1.0879
2023-03-24,1.0745
2023-03-27,1.0773
2023-03-28,1.0841
2023-03-29,1.0847
2023-03-30,1.0886
2023-03-31,1.0875
2023-04-03,1.0870
2023-04-04,1.0901
2023-04-05,1.0940
2023-04-06,1.0915
2023-04-11,1.0905
2023-04-12,1.0922
2023-04-13,1.1015
2023-04-14,1.1057
2023-04-17,1.0981
2023-04-18,1.0972
2023-04-19,1.0933
2023-04-20,1.0944
2023-04-21,1.0978
2023-04-24,1.1002
2023-04-25,1.1022
2023-04-26,1.1039
2023-04-27,1.1042
2023-04-28,1.0981
2023-05-03,1.1043
2023-05-04,1.1074
2023-05-05,1.1014
2023-05-08,1.1037
2023-05-09,1.0959
2023-05-10,1.0950
2023-05-11,1.0930
2023-05-12,1.0892
2023-05-15,1.0876
2023-05-16,1.0881
2023-05-17,1.0829
2023-05-18,1.0813
2023-05-19,1.0808
2023-05-22,1.0822
2023-05-23,1.0779
2023-05-24,1.0785
2023-05-25,1.0735
2023-05-26,1.0751
2023-05-29,1.0715
2023-05-30,1.0744
2023-05-31,1.0683
2023-06-01,1.0697
2023-06-02,1.0763
2023-06-05,1.0690
2023-06-06,1.0683
2023-06-07,1.0717
2023-06-08,1.0737
2023-06-09,1.0780
2023-06-12,1.0765
2023-06-13,1.0793
2023-06-14,1.0809
2023-06-15,1.0819
2023-06-16,1.0966
2023-06-19,1.0922
2023-06-20,1.0933
2023-06-21,1.0923
2023-06-22,1.0985
2023-06-23,1.0884
2023-06-26,1.0918
2023-06-27,1.0951
2023-06-28,1.0938
2023-06-29,1.0938
2023-06-30,1.0866
2023-07-03,1.0899
2023-07-04,1.0895
2023-07-05,1.0879
2023-07-06,1.0899
2023-07-07,1.0888
2023-07-10,1.0956
2023-07-11,1.0989
2023-07-12,1.1022
2023-07-13,1.1182
2023-07-14,1.1221
2023-07-17,1.1230
2023-07-18,1.1255
2023-07-19,1.1222
2023-07-20,1.1197
2023-07-21,1.1123
2023-07-24,1.1096
2023-07-25,1.1051
2023-07-26,1.1059
2023-07-27,1.1125
2023-07-28,1.1010
2023-07-31,1.1023
2023-08-01,1.0970
2023-08-02,1.0985
2023-08-03,1.0932
2023-08-04,1.0946
2023-08-07,1.0984
2023-08-08,1.0944
2023-08-09,1.0968
2023-08-10,1.1019
2023-08-11,1.1004
2023-08-14,1.0930
2023-08-15,1.0926
2023-08-16,1.0916
2023-08-17,1.0900
2023-08-18,1.0867
2023-08-21,1.0908
2023-08-22,1.0887
2023-08-23,1.0805
2023-08-24,1.0840
2023-08-25,1.0808
2023-08-28,1.0808
2023-08-29,1.0803
2023-08-30,1.0886
2023-08-31,1.0868
2023-09-01,1.0844
2023-09-04,1.0801
2023-09-05,1.0731
2023-09-06,1.0745
2023-09-07,1.0710
2023-09-08,1.0704
2023-09-11,1.0724
2023-09-12,1.0713
2023-09-13,1.0733
2023-09-14,1.0730
2023-09-15,1.0658
2023-09-18,1.0663
2023-09-19,1.0713
2023-09-20,1.0702
2023-09-21,1.0635
2023-09-22,1.0647
2023-09-25,1.0633
2023-09-26,1.0605
2023-09-27,1.0536
2023-09-28,1.0539
2023-09-29,1.0594
2023-10-02,1.0530
2023-10-03,1.0469
2023-10-04,1.0497
2023-10-05,1.0526
2023-10-06,1.0563
2023-10-09,1.0531
2023-10-10,1.0582
2023-10-11,1.0604
2023-10-12,1.0619
2023-10-13,1.0524
2023-10-16,1.0538
2023-10-17,1.0569
2023-10-18,1.0565
2023-10-19,1.0558
2023-10-20,1.0591
2023-10-23,1.0597
2023-10-24,1.0632
2023-10-25,1.0576
2023-10-26,1.0540
2023-10-27,1.0541
2023-10-30,1.0605
2023-10-31,1.0619
2023-11-01,1.0537
2023-11-02,1.0661
2023-11-03,1.0702
2023-11-06,1.0741
2023-11-07,1.0686
2023-11-08,1.0671
2023-11-09,1.0691
2023-11-10,1.0683
2023-11-13,1.0670
2023-11-14,1.0724
2023-11-15,1.0868
2023-11-16,1.0849
2023-11-17,1.0872
2023-11-20,1.0928
2023-11-21,1.0955
2023-11-22,1.0911
2023-11-23,1.0900
2023-11-24,1.0916
2023-11-27,1.0951
2023-11-28,1.0949
2023-11-29,1.0985
2023-11-30,1.0931
2023-12-01,1.0875
2023-12-04,1.0868
2023-12-05,1.0817
2023-12-06,1.0778
2023-12-07,1.0771
2023-12-08,1.0777
2023-12-11,1.0757
2023-12-12,1.0804
2023-12-13,1.0787
2023-12-14,1.0919
2023-12-15,1.0946
2023-12-18,1.0918
2023-12-19,1.0962
2023-12-20,1.0944
2023-12-21,1.0983
2023-12-22,1.1023
2023-12-27,1.1065
2023-12-28,1.1114
2023-12-29,1.1050
2024-01-02,1.0956
